"actions","ID","Author","Title","Book Title","Journal","Year","Type","Affiliation","DOI","Journal ISO","Unique-ID","DA-Initial","DA-Updated","originAuthor","editor","originEditor","series","publisher","volume","number","articleNumber","pages","type_value","timesCited","isbn","address","highlight","etxenike","research_lines"
"Eliminar   Modificar","ISI:000169967300055","M. Voda, R. Balda, M. Al-Saleh, I. S. de Ocariz, M. Cano, G. Lobera, E. Macho, and J. Fernandez","Optical properties of Pr3+-doped lithium tetraborate glasses","","JOURNAL OF ALLOYS AND COMPOUNDS","2001","Article; Proceedings Paper","Fernandez, J (Reprint Author), Univ Basque Country, ETSII & Telecom, Dept Fis Aplicada 1, Alda Urquijo S-N, Bilbao 48013, Spain. Univ Basque Country, ETSII & Telecom, Dept Fis Aplicada 1, Bilbao 48013, Spain. Univ Basque Country, ETSII & Telecom, EHU, UPV,Ctr Mixto CSIC, Bilbao 48013, Spain.","10.1016/S0925-8388(01)01055-6","J. Alloy. Compd.","ISI:000169967300055","2020-04-08","2020-04-08","Voda, M and Balda, R and Al-Saleh, M and de Ocariz, IS and Cano, M and Lobera, G and Macho, E and Fernandez, J","","","","ELSEVIER SCIENCE SA","323","","","250-254","Article; Proceedings Paper","12","","PO BOX 564, 1001 LAUSANNE, SWITZERLAND","false","false",""
"Eliminar   Modificar","ISI:000169967300056","R. Balda, L. M. Lacha, A. Mendioroz, M. Sanz, J. Fernandez, J. L. Adam, and M. A. Arriandiaga","Upconversion processes in Nd3+-doped fluoroarsenate glasses","","JOURNAL OF ALLOYS AND COMPOUNDS","2001","Article; Proceedings Paper","Balda, R (Reprint Author), Univ Basque Country, ETSII & Telecom, Dept Fis Aplicada 1, Alda Urquijo S-N, Bilbao 48013, Spain. Univ Basque Country, ETSII & Telecom, Dept Fis Aplicada 1, Bilbao 48013, Spain. Univ Basque Country, ETSII & Telecom, EHU, UPV,Ctr Mixto CSIC, Bilbao 48013, Spain. Univ Rennes 1, CNRS, UMR 6512, Lab Verres & Ceram, F-35042 Rennes, France. Univ Basque Country, Fac Ciencias, Dept Fis Aplicada 2, E-48080 Bilbao, Spain.","10.1016/S0925-8388(01)01023-4","J. Alloy. Compd.","ISI:000169967300056","2020-04-08","2020-04-08","Balda, R and Lacha, LM and Mendioroz, A and Sanz, M and Fernandez, J and Adam, JL and Arriandiaga, MA","","","","ELSEVIER SCIENCE SA","323","","","255-259","Article; Proceedings Paper","13","","PO BOX 564, 1001 LAUSANNE, SWITZERLAND","false","false",""
"Eliminar   Modificar","ISI:000169967300058","J. Fernandez, M. Sanz, A. Mendioroz, R. Balda, J. P. Chaminade, J. Ravez, L. M. Lacha, M. Voda, and M. A. Arriandiaga","Site-selective spectroscopy and infrared-to-visible upconversion in a Nd3+-doped Pb5Al3F19 crystal","","JOURNAL OF ALLOYS AND COMPOUNDS","2001","Article; Proceedings Paper","Fernandez, J (Reprint Author), ETSII & Telecom, Dept Fis Aplicada 1, Alda Urquijo S-N, Bilbao 48013, Spain. ETSII & Telecom, Dept Fis Aplicada 1, Bilbao 48013, Spain. Univ Basque Country, ETSII & Telecom, EHU, UPV,Ctr Mixto CSIC, Bilbao 48013, Spain. CNRS, ICMCB, F-33608 Pessac, France. Univ Basque Country, Fac Ciencias, Dept Fis Aplicata 2, E-48080 Bilbao, Spain.","10.1016/S0925-8388(01)01029-5","J. Alloy. Compd.","ISI:000169967300058","2020-04-08","2020-04-08","Fernandez, J and Sanz, M and Mendioroz, A and Balda, R and Chaminade, JP and Ravez, J and Lacha, LM and Voda, M and Arriandiaga, MA","","","","ELSEVIER SCIENCE SA","323","","","267-272","Article; Proceedings Paper","9","","PO BOX 564, 1001 LAUSANNE, SWITZERLAND","false","false",""
"Eliminar   Modificar","ISI:000169564100034","A. J. Moreno, A. Alegria, J. Colmenero, and B. Frick","Methyl group dynamics in poly(methyl methacrylate): From quantumtunneling to classical hopping","","MACROMOLECULES","2001","Article","Colmenero, J (Reprint Author), Univ Basque Country, EHU, Dept Fis Mat, Apartado 1072, San Sebastian 20080, Spain.
 Univ Basque Country, EHU, Dept Fis Mat, San Sebastian 20080, Spain.
 Univ Basque Country, EHU, CSIC, Ctr Mixto, San Sebastian 20080, Spain.
 Inst Max Von Laue Paul Langevin, F-38042 Grenoble, France.","10.1021/ma0100854","Macromolecules","ISI:000169564100034","2020-04-08","2020-04-08","Moreno, AJ and Alegria, A and Colmenero, J and Frick, B","","","","AMER CHEMICAL SOC","34","14","","4886-4896","Article","32","","1155 16TH ST, NW, WASHINGTON, DC 20036 USA","false","false","kw2a7woa9r"
"Eliminar   Modificar","ISI:000170604200014","F. J. Garcia-Vidal, and J. M. Pitarke","Optical absorption and energy-loss spectra of aligned carbon nanotubes","","EUROPEAN PHYSICAL JOURNAL B","2001","Article","Garcia-Vidal, FJ (Reprint Author), Univ Autonoma Madrid, Fac Ciencias, Dept Fis Teor Mat Condensada, E-28049 Madrid, Spain. Univ Autonoma Madrid, Fac Ciencias, Dept Fis Teor Mat Condensada, E-28049 Madrid, Spain. Euskal Herriko Unibertsitatea, Zientzi Fak, Mat Kondentsatuaren Fisika Saila, Bilbao 48080, Basque Country, Spain. EHU, CSIC, Ctr Mixto, UPV, Donostia San Sebastian, Basque Country, Spain. DIPC, Donostia San Sebastian, Basque Country, Spain.","10.1007/PL00011146","Eur. Phys. J. B","ISI:000170604200014","2020-04-08","2020-04-08","Garcia-Vidal, FJ and Pitarke, JM","","","","SPRINGER","22","2","","257-265","Article","14","","233 SPRING ST, NEW YORK, NY 10013 USA","false","false",""
"Eliminar   Modificar","ISI:000170259600008","V. Zhukova, A. F. Cobeno, A. Zhukov, J. M. Blanco, S. Puerta, J. Gonzalez, and M. Vazquez","Tailoring of magnetic properties of glass-coated microwires by current annealing","","JOURNAL OF NON-CRYSTALLINE SOLIDS","2001","Article; Proceedings Paper","Zhukova, V (Reprint Author), UPVIEHU, EUITI, Dept Fis Aplicada Elect & Telecom 1, Avda Felipe IV 1B, San Sebastian 20011, Spain. UPVIEHU, EUITI, Dept Fis Aplicada Elect & Telecom 1, San Sebastian 20011, Spain. Donostia Int Phys Ctr, UPV 1072, San Sebastian 20018, Spain. TAMag SL, Madrid, Spain. UPV, Fac Quim, Dept Fis Mat, San Sebastian 20080, Spain. RENFE UCM, Inst Magnetismo Aplicado, Madrid 28030, Spain. CSIC, Inst Ciencias Mat, Madrid 28030, Spain.","10.1016/S0022-3093(01)00536-1","J. Non-Cryst. Solids","ISI:000170259600008","2020-04-08","2020-04-08","Zhukova, V and Cobeno, AF and Zhukov, A and Blanco, JM and Puerta, S and Gonzalez, J and Vazquez, M","","","","ELSEVIER SCIENCE BV","287","1-3","","31-36","Article; Proceedings Paper","54","","PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","false","false",""
"Eliminar   Modificar","ISI:000170259600045","L. Goitiandia, and A. Alegria","Physical aging of poly(vinyl acetate). A thermally stimulated depolarization current investigation","","JOURNAL OF NON-CRYSTALLINE SOLIDS","2001","Article; Proceedings Paper","Goitiandia, L (Reprint Author), UPV, EHU, Fac Quim, Dept Fis Mat, Apdo 1072, San Sebastian 20080, Spain. UPV, EHU, Fac Quim, Dept Fis Mat, San Sebastian 20080, Spain. UPV, EHU, CSIC, Ctr Mixto, San Sebastian 20080, Spain.","10.1016/S0022-3093(01)00578-6","J. Non-Cryst. Solids","ISI:000170259600045","2020-04-08","2020-04-08","Goitiandia, L and Alegria, A","","","","ELSEVIER SCIENCE BV","287","1-3","","237-241","Article; Proceedings Paper","25","","PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","false","false",""
"Eliminar   Modificar","ISI:000170259600046","A. J. Moreno, A. Alegria, J. Colmenero, R. Mukhopadhyay, and B. Frick","The distribution of tunnelling frequencies for methyl group rotation in poly(vinyl acetate)","","JOURNAL OF NON-CRYSTALLINE SOLIDS","2001","Article; Proceedings Paper","Moreno, AJ (Reprint Author), UPV, EHU, Dept Fis Mat, Apdo 1072, San Sebastian 20080, Spain. UPV, EHU, Dept Fis Mat, San Sebastian 20080, Spain. UPV, EHU, CSIC, Ctr Mixto, San Sebastian 20080, Spain. Bhabha Atom Res Ctr, Div Solid State Phys, Bombay 400085, Maharashtra, India. Inst Max Von Laue Paul Langevin, F-38042 Grenoble, France.","10.1016/S0022-3093(01)00580-4","J. Non-Cryst. Solids","ISI:000170259600046","2020-04-08","2020-04-08","Moreno, AJ and Alegria, A and Colmenero, J and Mukhopadhyay, R and Frick, B","","","","ELSEVIER SCIENCE BV","287","1-3","","242-245","Article; Proceedings Paper","3","","PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","false","false",""
"Eliminar   Modificar","ISI:000170259600047","D. Gomez, and A. Alegria","On the empirical functions describing the alpha-relaxation of glass-forming systems","","JOURNAL OF NON-CRYSTALLINE SOLIDS","2001","Article; Proceedings Paper","Alegria, A (Reprint Author), Univ Basque Country, Euskal Herriko Unibertsitatea, Fac Quim, Dept Fis Mat, Apdo 1072, E-20080 San Sebastian, Spain. Univ Basque Country, Euskal Herriko Unibertsitatea, Fac Quim, Dept Fis Mat, E-20080 San Sebastian, Spain. Univ Basque Country, Euskal Herriko Unibertsitatea, CSIC, Ctr Mixto,Fac Quim, E-20080 San Sebastian, Spain.","10.1016/S0022-3093(01)00582-8","J. Non-Cryst. Solids","ISI:000170259600047","2020-04-08","2020-04-08","Gomez, D and Alegria, A","","","","ELSEVIER SCIENCE BV","287","1-3","","246-251","Article; Proceedings Paper","27","","PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","false","false",""
"Eliminar   Modificar","ISI:000170259600054","D. Richter, M. Monkenbusch, A. Arbe, and J. Colmenero","Neutron scattering and the glass transition in polymers - present statusand future opportunities","","JOURNAL OF NON-CRYSTALLINE SOLIDS","2001","Article; Proceedings Paper","Richter, D (Reprint Author), Forchungszentrum Julich, Inst Festkorperforsch, D-52425 Julich, Germany.
 Forchungszentrum Julich, Inst Festkorperforsch, D-52425 Julich, Germany.
 Univ Basque Country, Dept Fis Mat, E-20080 San Sebastian, Spain.
 Unidad Fis Mat, CSIC, UPV, EHU, E-20080 San Sebastian, Spain.
 Donostia Int Phys Ctr, E-20080 San Sebastian, Spain.","10.1016/S0022-3093(01)00631-7","J. Non-Cryst. Solids","ISI:000170259600054","2020-04-08","2020-04-08","Richter, D and Monkenbusch, M and Arbe, A and Colmenero, J","","","","ELSEVIER SCIENCE BV","287","1-3","","286-296","Article; Proceedings Paper","11","","PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","false","false","kw2a7woa9r"
