Time,WELDING VOLTAGE,velocity
0,16.34571368,0
1,16.34571368,0
2,16.34571368,0
3,16.34571368,0
4,16.34571368,0
5,16.34571368,0
6,16.34571368,0
7,16.34571368,0
8,16.34571368,0
9,16.34571368,0
10,16.34571368,0
11,16.34571368,0
12,16.34571368,0
13,16.34571368,0
14,16.34571368,0
15,16.34571368,0
16,16.34571368,0
17,16.34571368,0
18,16.34571368,0
19,16.34571368,0
20,16.34571368,0
21,16.34571368,0
22,16.34571368,0
23,16.34571368,0
24,16.34571368,0
25,16.34571368,0
26,16.34571368,0
27,16.34571368,0
28,16.34571368,0
29,16.34571368,0
30,16.34571368,0
31,16.34571368,0
32,16.34571368,0
33,16.34571368,0
34,16.34571368,0
35,16.34571368,0
36,16.34571368,0
37,16.34571368,0
38,16.34571368,0
39,16.34571368,0
40,16.34571368,0
41,16.34571368,0
42,16.34571368,0
43,16.34571368,0
44,16.34571368,0
45,16.34571368,0
46,16.34571368,0
47,16.34571368,0
48,16.34571368,0
49,16.34571368,0
50,16.34571368,0
51,16.34571368,0
52,16.34571368,0
53,16.34571368,0
54,16.34571368,0
55,16.34571368,0
56,16.34571368,0
57,16.34571368,0
58,16.34571368,0
59,16.34571368,0
60,16.34571368,0
61,16.34571368,0
62,16.34571368,0
63,16.34571368,0
64,16.34571368,0
65,16.34571368,0
66,16.34571368,0
67,16.34571368,0
68,16.34571368,0
69,16.34571368,0
70,16.34571368,0
71,16.34571368,0
72,16.34571368,0
73,16.34571368,0
74,16.34571368,0
75,16.34571368,0
76,16.34571368,0
77,16.34571368,0
78,16.34571368,0
79,16.34571368,0
80,16.34571368,0
81,16.34571368,0
82,16.34571368,0
83,16.34571368,0
84,16.34571368,0
85,16.34571368,0
86,16.34571368,0
87,16.34571368,0
88,16.34571368,0
89,16.34571368,0
90,16.34571368,0
91,16.34571368,0
92,16.34571368,0
93,16.34571368,0
94,16.34571368,0
95,16.34571368,0
96,16.34571368,0
97,16.34571368,0
