Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
Die Hard 4.0,(2007),15,128 min,"
Action, Thriller            ",7.1,"
69        
        Metascore
            ","
    John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.",Len Wiseman,Bruce Willis,Justin Long,Timothy Olyphant,Maggie Q,"387,301",$134.53M
28 Days Later,(2002),18,113 min,"
Drama, Horror, Sci-Fi            ",7.6,"
73        
        Metascore
            ","
    Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",Danny Boyle,Cillian Murphy,Naomie Harris,Christopher Eccleston,Alex Palmer,"374,595",$45.06M
Predator,(1987),18,107 min,"
Action, Adventure, Sci-Fi            ",7.8,"
45        
        Metascore
            ","
    A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.",John McTiernan,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo,"369,050",$59.74M
In Time,(2011),12A,109 min,"
Action, Sci-Fi, Thriller            ",6.7,"
53        
        Metascore
            ","
    In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",Andrew Niccol,Justin Timberlake,Amanda Seyfried,Cillian Murphy,Olivia Wilde,"367,923",$37.52M
The Shape of Water,(2017),15,123 min,"
Adventure, Drama, Fantasy            ",7.3,"
87        
        Metascore
            ","
    At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",Guillermo del Toro,Sally Hawkins,Octavia Spencer,Michael Shannon,Doug Jones,"365,730",$63.86M
Die Hard: With a Vengeance,(1995),15,128 min,"
Action, Adventure, Thriller            ",7.6,"
58        
        Metascore
            ","
    John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building.",John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,"361,299",$100.01M
Die Hard 2,(1990),15,124 min,"
Action, Thriller            ",7.2,"
67        
        Metascore
            ","
    John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",Renny Harlin,Bruce Willis,William Atherton,Bonnie Bedelia,Reginald VelJohnson,"334,281",$117.54M
Man on Fire,(2004),18,146 min,"
Action, Crime, Drama            ",7.7,"
47        
        Metascore
            ","
    In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Tony Scott,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,"327,379",$77.91M
Speed,(1994),15,116 min,"
Action, Adventure, Thriller            ",7.2,"
78        
        Metascore
            ","
    A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.",Jan de Bont,Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton,"326,268",$121.25M
Jackie Brown,(1997),15,154 min,"
Crime, Drama, Thriller            ",7.5,"
64        
        Metascore
            ","
    A middle-aged woman finds herself in the middle of a huge conflict that will either make her a profit or cost her life.",Quentin Tarantino,Pam Grier,Samuel L. Jackson,Robert Forster,Bridget Fonda,"313,792",$39.67M
Taken 2,(2012),12A,92 min,"
Action, Thriller            ",6.3,"
45        
        Metascore
            ","
    In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",Olivier Megaton,Liam Neeson,Famke Janssen,Maggie Grace,Leland Orser,"288,148",$139.85M
Jumper,(2008),12A,88 min,"
Action, Adventure, Sci-Fi            ",6.1,"
35        
        Metascore
            ","
    A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.",Doug Liman,Hayden Christensen,Samuel L. Jackson,Jamie Bell,Rachel Bilson,"285,361",$80.17M
Bridge of Spies,(2015),12A,142 min,"
Drama, History, Thriller            ",7.6,"
81        
        Metascore
            ","
    During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan,"285,212",$72.31M
The Transporter,(2002),15,92 min,"
Action, Crime, Thriller            ",6.8,"
51        
        Metascore
            ","
    Frank Martin, who ""transports"" packages for unknown clients, is asked to move a package that soon begins moving, and complications arise.",Louis Leterrier,Corey Yuen,Jason Statham,Qi Shu,Matt Schulze,"283,486",$25.30M
American Horror Story,(2011– ),18,60 min,"
Drama, Horror, Thriller            ",8.0,,"
    An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",Lady Gaga,Kathy Bates,Angela Bassett,Sarah Paulson,,"274,801",
Kingsman: The Golden Circle,(2017),15,141 min,"
Action, Adventure, Comedy            ",6.7,"
44        
        Metascore
            ","
    After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organisation in the United States is discovered. These two elite secret organisations must band together to defeat a common enemy.",Matthew Vaughn,Taron Egerton,Colin Firth,Mark Strong,Channing Tatum,"269,713",$100.23M
Alien: Covenant,(2017),15,122 min,"
Horror, Sci-Fi, Thriller            ",6.4,"
65        
        Metascore
            ","
    The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",Ridley Scott,Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride,"252,284",$74.26M
Phone Booth,(2002),15,81 min,"
Crime, Thriller            ",7.0,"
56        
        Metascore
            ","
    Publicist Stuart Shepard finds himself trapped in a phone booth, pinned down by an extortionist's sniper rifle. Unable to leave or receive outside help, Stuart's negotiation with the caller leads to a jaw-dropping climax.",Joel Schumacher,Colin Farrell,Kiefer Sutherland,Forest Whitaker,Radha Mitchell,"249,829",$46.57M
Vanilla Sky,(2001),15,136 min,"
Fantasy, Mystery, Romance            ",6.9,"
45        
        Metascore
            ","
    A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.",Cameron Crowe,Tom Cruise,Penélope Cruz,Cameron Diaz,Kurt Russell,"247,557",$100.61M
Road to Perdition,(2002),15,117 min,"
Crime, Drama, Thriller            ",7.7,"
72        
        Metascore
            ","
    A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Sam Mendes,Tom Hanks,Tyler Hoechlin,Rob Maxey,Liam Aiken,"245,062",$104.45M
The A-Team,(2010),15,117 min,"
Action, Adventure, Thriller            ",6.7,"
47        
        Metascore
            ","
    A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.",Joe Carnahan,Liam Neeson,Bradley Cooper,Sharlto Copley,Jessica Biel,"244,836",$77.22M
Chronicle,(2012),12A,89 min,"
Drama, Sci-Fi, Thriller            ",7.0,"
69        
        Metascore
            ","
    Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides.",Josh Trank,Dane DeHaan,Alex Russell,Michael B. Jordan,Michael Kelly,"238,906",$64.58M
True Lies,(1994),15,141 min,"
Action, Adventure, Comedy            ",7.2,"
63        
        Metascore
            ","
    A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton,"236,102",$146.28M
Sunshine,(2007),15,107 min,"
Sci-Fi, Thriller            ",7.2,"
64        
        Metascore
            ","
    A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.",Danny Boyle,Cillian Murphy,Rose Byrne,Chris Evans,Cliff Curtis,"232,064",$3.68M
